entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Year 2019,Time,Research,Activity,During,"For this purpose, various research and technical exercises were conducted under the supervision of NCTB during the year 2017 to 2019 to analyze the prevalent situation of education and assess the learning needs."
Education,Concept,Situation,Condition,Prevalent,"For this purpose, various research and technical exercises were conducted under the supervision of NCTB during the year 2017 to 2019 to analyze the prevalent situation of education and assess the learning needs."
Learning needs,Concept,Situation,Condition,Assess,"For this purpose, various research and technical exercises were conducted under the supervision of NCTB during the year 2017 to 2019 to analyze the prevalent situation of education and assess the learning needs."
Competency-based curriculum,Curriculum type,K-12,Education level,Developed for,"Based on the researches and technical exercises, a competency-based incessant curriculum from K-12 has been developed to create a competent generation to survive in the new world situation."
Competent generation,Target audience,Competency-based curriculum,Curriculum type,Intended outcome,"Based on the researches and technical exercises, a competency-based incessant curriculum from K-12 has been developed to create a competent generation to survive in the new world situation."
Researches,Activity,Curriculum development,Process,Basis for,"Based on the researches and technical exercises, a competency-based incessant curriculum from K-12 has been developed to create a competent generation to survive in the new world situation."
Technical exercises,Activity,Curriculum development,Process,Basis for,"Based on the researches and technical exercises, a competency-based incessant curriculum from K-12 has been developed to create a competent generation to survive in the new world situation."
New world situation,Situation,Competent generation,Target audience,Context for,"Based on the researches and technical exercises, a competency-based incessant curriculum from K-12 has been developed to create a competent generation to survive in the new world situation."
Textbooks,Learning material,Competency based curriculum,Educational approach,Prepared for,"In the light of the competency based curriculum, the textbooks have been prepared for all streams (General, Madrasah and Vocational) of learners for grade VII."
General stream,Type of stream,Grade VII learners,Education level,Targeted towards,"In the light of the competency based curriculum, the textbooks have been prepared for all streams (General, Madrasah and Vocational) of learners for grade VII."
Madrasah stream,Type of stream,Grade VII learners,Education level,Targeted towards,"In the light of the competency based curriculum, the textbooks have been prepared for all streams (General, Madrasah and Vocational) of learners for grade VII."
Vocational stream,Type of stream,Grade VII learners,Education level,Targeted towards,"In the light of the competency based curriculum, the textbooks have been prepared for all streams (General, Madrasah and Vocational) of learners for grade VII."
Textbooks,Object,Life related phenomenon,Phenomenon,Related to,This will connect textbooks with various life related phenomenon and events that are constantly taking place around us.
Textbooks,Object,Events,Event,Related to,This will connect textbooks with various life related phenomenon and events that are constantly taking place around us.
Life related phenomenon,Phenomenon,Events,Event,Related to,This will connect textbooks with various life related phenomenon and events that are constantly taking place around us.
Life related phenomenon,Phenomenon,Constantly taking place,Event,Describes,This will connect textbooks with various life related phenomenon and events that are constantly taking place around us.
Issues,Topic,Gender,Demographic,Related to,"Issues like gender, ethnicity, religion, caste, the disadvantaged and students with special needs have been taken into special consideration while developing the textbook."
Issues,Topic,Ethnicity,Demographic,Related to,"Issues like gender, ethnicity, religion, caste, the disadvantaged and students with special needs have been taken into special consideration while developing the textbook."
Issues,Topic,Religion,Demographic,Related to,"Issues like gender, ethnicity, religion, caste, the disadvantaged and students with special needs have been taken into special consideration while developing the textbook."
Issues,Topic,Caste,Demographic,Related to,"Issues like gender, ethnicity, religion, caste, the disadvantaged and students with special needs have been taken into special consideration while developing the textbook."
Issues,Topic,Disadvantaged,Demographic,Related to,"Issues like gender, ethnicity, religion, caste, the disadvantaged and students with special needs have been taken into special consideration while developing the textbook."
Students,Person,Special needs,Condition,Related to,"Issues like gender, ethnicity, religion, caste, the disadvantaged and students with special needs have been taken into special consideration while developing the textbook."
Textbook,Object,Developing,Action,Performed on,"Issues like gender, ethnicity, religion, caste, the disadvantaged and students with special needs have been taken into special consideration while developing the textbook."
Textbook,Object,Writing,Action,Performed by,"I would like to thank all who have put their best efforts in writing, editing, illustrating and publishing the textbook."
Textbook,Object,Editing,Action,Performed by,"I would like to thank all who have put their best efforts in writing, editing, illustrating and publishing the textbook."
Textbook,Object,Illustrating,Action,Performed by,"I would like to thank all who have put their best efforts in writing, editing, illustrating and publishing the textbook."
Textbook,Object,Publishing,Action,Performed by,"I would like to thank all who have put their best efforts in writing, editing, illustrating and publishing the textbook."
Writing,Action,Editing,Action,Performed on,"I would like to thank all who have put their best efforts in writing, editing, illustrating and publishing the textbook."
Editing,Action,Illustrating,Action,Performed on,"I would like to thank all who have put their best efforts in writing, editing, illustrating and publishing the textbook."
Illustrating,Action,Publishing,Action,Performed on,"I would like to thank all who have put their best efforts in writing, editing, illustrating and publishing the textbook."
Farhadul Islam,Person,"Chairman National Curriculum and Textbook Board, Bangladesh",Organization,Affiliation with,"Farhadul Islam Chairman National Curriculum and Textbook Board, Bangladesh Preface  Index Page Chapter 1: Biodiversity ............................................................."
Biodiversity,Concept,Chapter 1,Chapter,Discussed in,"Farhadul Islam Chairman National Curriculum and Textbook Board, Bangladesh Preface  Index Page Chapter 1: Biodiversity ............................................................."
Chloroplasts,Organelle,Plant cells,Cell type,Located in,...................
Chloroplasts,Organelle,Thylakoids,Membrane,Contains,...................
Chloroplasts,Organelle,Photosynthesis,Biological process,Occurs in,...................
Thylakoids,Membrane,Chloroplasts,Organelle,Part of,...................
Thylakoids,Membrane,Light-dependent reactions,Biological process,Occur in,...................
Photosynthesis,Biological process,Thylakoids,Membrane,Occurs in,...................
Photosynthesis,Biological process,Chloroplasts,Organelle,Takes place in,...................
Light-dependent reactions,Biological process,Chloroplasts,Organelle,Takes place in,...................
Chloroplasts,Organelle,Plant cells,Cell type,Located in,..
Chloroplasts,Organelle,Thylakoids,Membrane,Contains,..
Chloroplasts,Organelle,Photosynthesis,Biological process,Occurs in,..
Thylakoids,Membrane,Chloroplasts,Organelle,Part of,..
Thylakoids,Membrane,Light-dependent reactions,Biological process,Occur in,..
Photosynthesis,Biological process,Thylakoids,Membrane,Occurs in,..
Light-dependent reactions,Biological process,Thylakoids,Membrane,Part of,..
Chloroplasts,Organelle,Plant cells,Cell type,Located in,..................................
Chloroplasts,Organelle,Thylakoids,Membrane,Contains,..................................
Chloroplasts,Organelle,Photosynthesis,Biological process,Occurs in,..................................
Thylakoids,Membrane,Chloroplasts,Organelle,Part of,..................................
Thylakoids,Membrane,Light-dependent reactions,Biological process,Occur in,..................................
Photosynthesis,Biological process,Thylakoids,Membrane,Occurs in,..................................
Photosynthesis,Biological process,Chloroplasts,Organelle,Takes place in,..................................
Light-dependent reactions,Biological process,Chloroplasts,Organelle,Takes place in,..................................
Experiences,Concept,Problem solving steps,Concept,Detailed in,These new experiences and problem solving steps are detailed in your work book.
School,Location,Home,Location,none,"At school or at home, wherever you are, you can use this book to solve problems yourself if needed!  This book covers the topics of Science that you will need to know in Class seven."
Book,Object,Science topics,Topic,Covers,"At school or at home, wherever you are, you can use this book to solve problems yourself if needed!  This book covers the topics of Science that you will need to know in Class seven."
Science,Subject,Book,Object,Covered by,"At school or at home, wherever you are, you can use this book to solve problems yourself if needed!  This book covers the topics of Science that you will need to know in Class seven."
Class seven,Academic level,Science topics,Topic,Needed to know,"At school or at home, wherever you are, you can use this book to solve problems yourself if needed!  This book covers the topics of Science that you will need to know in Class seven."
Earth,Planet,Biosphere,Ecological system,Has,"If we compare it with other known planets, we can understand that its diverse biosphere plays a role in the beauty of the Earth."
Earth,Planet,Beauty,Aesthetic quality,Contributes to,"If we compare it with other known planets, we can understand that its diverse biosphere plays a role in the beauty of the Earth."
Biosphere,Ecological system,Diversity,Characteristic,Contributes to beauty,"If we compare it with other known planets, we can understand that its diverse biosphere plays a role in the beauty of the Earth."
Planets,Celestial object,Satellites,Celestial object,Related,"Whether we talk about Mars, Jupiter or Moon, these planets and satellites have a rough lifeless environment."
Rough environment,Characteristic,Planets,Celestial object,Exists in,"Whether we talk about Mars, Jupiter or Moon, these planets and satellites have a rough lifeless environment."
Lifeless environment,Characteristic,Planets,Celestial object,Exists in,"Whether we talk about Mars, Jupiter or Moon, these planets and satellites have a rough lifeless environment."
Earth,Planet,Environment,Concept,Has,"Compared to that, this alive, lively environment of the Earth creates an entirely different feeling in us."
Feeling,Emotion,Us,Human,Causes,"Compared to that, this alive, lively environment of the Earth creates an entirely different feeling in us."
Organisms,Living being,Earth,Planet,Located on,"There are billions of organisms on Earth, including humans, with different characteristics."
Humans,Species,Organisms,Living being,Belongs to,"There are billions of organisms on Earth, including humans, with different characteristics."
Characteristics,Trait,Organisms,Living being,Possessed by,"There are billions of organisms on Earth, including humans, with different characteristics."
Earth,Planet,Humans,Species,Inhabits,"There are billions of organisms on Earth, including humans, with different characteristics."
Scientific research,Area of study,Organisms,Living beings,Diversity of,An important area of scientific research is to know about this diversity of organisms.
Various organisms,Organism,Polar Regions,Geographical location,Adapted to,"It is a matter of great wonder how various organisms have adapted to the extremely cold Polar Regions, hot sandy deserts or the deep bottom of the sea without a trace of sunlight."
Polar Regions,Geographical location,Extremely cold,Environmental condition,Located in,"It is a matter of great wonder how various organisms have adapted to the extremely cold Polar Regions, hot sandy deserts or the deep bottom of the sea without a trace of sunlight."
Various organisms,Organism,Hot sandy deserts,Geographical location,Adapted to,"It is a matter of great wonder how various organisms have adapted to the extremely cold Polar Regions, hot sandy deserts or the deep bottom of the sea without a trace of sunlight."
Hot sandy deserts,Geographical location,Extremely hot,Environmental condition,Located in,"It is a matter of great wonder how various organisms have adapted to the extremely cold Polar Regions, hot sandy deserts or the deep bottom of the sea without a trace of sunlight."
Various organisms,Organism,Deep bottom of the sea,Geographical location,Adapted to,"It is a matter of great wonder how various organisms have adapted to the extremely cold Polar Regions, hot sandy deserts or the deep bottom of the sea without a trace of sunlight."
Deep bottom of the sea,Geographical location,No sunlight,Environmental condition,Located in,"It is a matter of great wonder how various organisms have adapted to the extremely cold Polar Regions, hot sandy deserts or the deep bottom of the sea without a trace of sunlight."
Chapter,Document section,Biodiversity,Concept,Describes,This chapter will give us a basic idea of this amazing biodiversity.
Biodiversity,Term,Life,Concept,Describes variety of,The term biodiversity describes the great variety of life on Earth.
Biodiversity,Concept,Living things,General,Refers to,"Biodiversity refers to the variety of living things, including plants, animals, and microorganisms."
Biodiversity,Concept,Plants,Organism,Part of,"Biodiversity refers to the variety of living things, including plants, animals, and microorganisms."
Biodiversity,Concept,Animals,Organism,Part of,"Biodiversity refers to the variety of living things, including plants, animals, and microorganisms."
Biodiversity,Concept,Microorganisms,Organism,Part of,"Biodiversity refers to the variety of living things, including plants, animals, and microorganisms."
Scientists,Profession,Estimate,Action,that,"However, scientists estimate that there are about 8-14 million (80 to 140 lakh) different species of organisms on this Earth."
Different species of organisms,Living things,Earth,Planet,Exist on,"However, scientists estimate that there are about 8-14 million (80 to 140 lakh) different species of organisms on this Earth."
Most organisms,Entity,Unknown,Entity,"Related by ""are""","But whatever the number, most of these organisms are unknown to us."
Species,Biological entity,Identified,Event,Described,"Only 1.2 million (12 lakh) species have been identified and described so far, most of which are insects."
Parents,Person,Children,Person,Related by parent-child,"That's why we don't look exactly like our parents and are a bit different! Siblings do not look exactly alike unless they are twins, even though they are children of the same parents! From parent to child, this difference in appearance is a minimal change in one generation."
Siblings,Person,Appearance,Physical trait,Related by difference in appearance,"That's why we don't look exactly like our parents and are a bit different! Siblings do not look exactly alike unless they are twins, even though they are children of the same parents! From parent to child, this difference in appearance is a minimal change in one generation."
