entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Intake,Action,Water,Substance,Related to,"If the intake of water and release of water are equal, the balance of water is maintained in the body."
Release,Action,Water,Substance,Related to,"If the intake of water and release of water are equal, the balance of water is maintained in the body."
Balance,State,Water,Substance,Maintained by,"If the intake of water and release of water are equal, the balance of water is maintained in the body."
Body,Organism,Water,Substance,Contains,"If the intake of water and release of water are equal, the balance of water is maintained in the body."
Person,Individual,Water,Liquid,Drink,An adult person should drink 2-3 liters of water per day.
Hot weather,Environmental condition,Deficiency of water,Medical condition,Cause of,Hot weather and hard labour are the causes of deficiency of water in the body.
Hard labour,Physical activity,Deficiency of water,Medical condition,Cause of,Hot weather and hard labour are the causes of deficiency of water in the body.
Diabetes,Disease,Urinating,Symptom,Causes,"If diabetes is not in control, it causes repeated urinating."
Severe thirst,Symptom,Deficiency of water,Condition,Causes,"Severe thirst, inhibition of blood circulation and shrunk skin result from the deficiency of water."
Inhibition of blood circulation,Symptom,Deficiency of water,Condition,Causes,"Severe thirst, inhibition of blood circulation and shrunk skin result from the deficiency of water."
Shrunk skin,Symptom,Deficiency of water,Condition,Causes,"Severe thirst, inhibition of blood circulation and shrunk skin result from the deficiency of water."
Nerve,Tissue,Muscle,Tissue,"Related by ""also become weak due to lack of water""",The nerve and muscle also become weak due to lack of water.
Water,Substance,Body,Organism,Contains,10% of water loss of the body causes fainting and even death of a person.
Body,Organism,Person,Human,Related to,10% of water loss of the body causes fainting and even death of a person.
Water loss,Medical condition,Body,Organism,Causes,10% of water loss of the body causes fainting and even death of a person.
Fainting,Medical condition,Person,Human,Caused by,10% of water loss of the body causes fainting and even death of a person.
Death,Medical condition,Person,Human,Caused by,10% of water loss of the body causes fainting and even death of a person.
Vomiting,Symptom,Water deficiency,Condition,Caused by,Vomiting and diarrhoea are also caused by water deficiency in the body.
Diarrhoea,Symptom,Water deficiency,Condition,Caused by,Vomiting and diarrhoea are also caused by water deficiency in the body.
Salt water,Solution,Patient,Person,Taken by,The patient should take salt water or saline water for the rapid cure of water deficiency.
Saline water,Solution,Patient,Person,Taken by,The patient should take salt water or saline water for the rapid cure of water deficiency.
Water deficiency,Medical condition,Patient,Person,Experiencing,The patient should take salt water or saline water for the rapid cure of water deficiency.
Water,Substance,Body,Organ,Come out of,"The water  14 Science and salt which come out of the body, is recovered by saline water."
Salt,Substance,Body,Organ,Come out of,"The water  14 Science and salt which come out of the body, is recovered by saline water."
Saline water,Solution,Water,Substance,Recovered by,"The water  14 Science and salt which come out of the body, is recovered by saline water."
Salt,Compound,Oral saline,Solution,Component of,"If oral saline is not available in the house, it can be made by mixing a pinch of salt, a handful of molasses or sugar and a glass of water."
Molasses,Food item,Oral saline,Solution,Component of,"If oral saline is not available in the house, it can be made by mixing a pinch of salt, a handful of molasses or sugar and a glass of water."
Sugar,Compound,Oral saline,Solution,Component of,"If oral saline is not available in the house, it can be made by mixing a pinch of salt, a handful of molasses or sugar and a glass of water."
Water,Compound,Oral saline,Solution,Component of,"If oral saline is not available in the house, it can be made by mixing a pinch of salt, a handful of molasses or sugar and a glass of water."
House,Building,Oral saline,Solution,Location of making,"If oral saline is not available in the house, it can be made by mixing a pinch of salt, a handful of molasses or sugar and a glass of water."
Fibre,Roughage,Food,Nutrient,Component of,"1.1.6 Fibre Besides the components of food, discussed so far, another very important component of food is roughages or fiber-rich foods."
