entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Shape,mathematical concept,Size,physical quantity,different from,"As we look at our surroundings, we see a large variety of things with different shapes, sizes and textures.
"
Matter,material,Material,product,subclass of,"Everything in this universe is made up of material which scientists have named “matter”.
"
Air,None,Matter,material substance,part of,"The air we breathe, the food we eat, stones, clouds, stars, plants and animals, even a small drop of water or a particle of sand — every thing is matter.
"
Mass,physical quantity,Space,physical quantity,part of,"We can also see as we look around that all the things mentioned above occupy space and have mass.
"
Mass,physical quantity,Volume,physical quantity,has effect,"In other words, they have both mass* and volume**.
"
Understanding,capability,Human,organisms known by a particular common name,part of,"Since early times, human beings have been trying to understand their surroundings.
"
Atmosphere of Earth,atmosphere,Panch Tatva,concept,part of,"Early Indian philosophers classified matter in the form of five basic elements — the “Panch Tatva” — air, earth, fire, sky and water.
"
Non-living,concept,Life,phenomenon,opposite of,"According to them everything, living or non- living, was made up of these five basic elements.
"
Matter,material substance,Philosophy,academic discipline,studied by,"Ancient Greek philosophers had arrived at a similar classification of matter.
"
Physical property,property,Matter,material substance,facet of,"Modern day scientists have evolved two types of classification of matter based on their physical properties and chemical nature.
"
Physical property,property,Matter,material substance,part of,"In this chapter we shall learn about matter based on its physical properties.
"
Chemistry,academic discipline,Matter,material substance,studies,"Chemical aspects of matter will be taken up in subsequent chapters.
"
Physical nature of matter,None,Matter,material substance,facet of,"1.1  Physical Nature of Matter 1.1.1 MATTER IS MADE UP OF PARTICLES For a long time, two schools of thought prevailed regarding the nature of matter.
"
Wood,material,Sand,natural building material,subclass of,"One school believed matter to be continuous like a block of wood, whereas, the other thought that matter was made up of particles like sand.
"
Continuous matter,matter,Matter,material substance,subclass of,"Let us perform an activity to decide about the nature of matter — is it continuous or particulate?
"
Drink,food,Drinking water,liquid,made from material,"Activity ______________ 1.1 • Take a 100 mL beaker.
"
Level of water,None,Water,None,facet of,"• Fill half the beaker with water and mark the level of water.
"
Salt,mixture,Sugar,food,instance of,"• Dissolve some salt/ sugar with the help of a glass rod.
"
New Zealand,sovereign state,Tasmania,state of Australia,contains administrative territorial entity,"• Observe any change in water level.
"
England,devolved nation within the UK,London,city,capital,"• What do you think has happened to the salt?
"
Australia,sovereign state,Queensland,state of Australia,contains administrative territorial entity,"• Where does it disappear?
"
World Heritage Site,cultural heritage,UNESCO,international organization,maintained by,"• Does the level of water change?
"
Particle,physical object,Matter,material substance,part of,"In order to answer these questions we need to use the idea that matter is made up of particles.
"
Sugar,food,Salt,mixture,different from,"What was there in the spoon,  salt or sugar, has now spread throughout  water.
"
Fig. 1,illuminated manuscript,Illuminated manuscript,manuscript,instance of,"This is  illustrated in Fig. 1.1.
"
Barry Goldwater,human,President of the United States,position,position held,"1.1.2 HOW SMALL ARE THESE PARTICLES OF MATTER?
"
Permanganate,None,Dissolve,chemical substance,subject has role,"Activity ______________ 1.2 • Take 2–3 crystals of potassium permanganate and dissolve them in 100 mL of water.
"
Kilogram,unit of mass,International System of Units,nan,part of,"* The SI unit of mass is kilogram (kg).
"
Cubic metre,SI derived unit,International System of Units,nan,part of,"** The SI unit of volume is cubic metre (m3).
"
Litre,UCUM derived unit,Volume,physical quantity,measured physical quantity,"The common unit of measuring volume is litre (L) such that 1L = 1 dm3, 1L = 1000 mL, 1 mL = 1 cm3.
"
SCIENCE 2,literary work,MATTER ATTER ATTER ATTER ATTER ATTER,None,main subject,"1 M M M M MATTER ATTER ATTER ATTER ATTER     IN IN IN IN IN O O O O OUR UR UR UR UR S S S S SURROUNDINGS URROUNDINGS URROUNDINGS URROUNDINGS URROUNDINGS C hapter Rationalised 2023-24  SCIENCE 2 • Take out approximately 10 mL of this solution and put it into 90 mL of clear water.
"
Solution,homogeneous mixture,Solution,homogeneous mixture,part of,"• Take out 10 mL of this solution and put it into another 90 mL of clear water.
"
Australia,sovereign state,Queensland,state of Australia,contains administrative territorial entity,"• Is the water still coloured ?
"
Muses,taxon,Incense,artificial physical object,subclass of,"1.2.2 PARTICLES OF MATTER ARE CONTINUOUSLY MOVING Activity ______________ 1.3 • Put an unlit incense stick in a corner of your class.
"
Smell,perception,Odor,physical phenomenon,has cause,"How close do you have to go near it so as to get its smell?
"
Incense,artificial physical object,Incense,artificial physical object,use,"• Now light the incense stick.
"
Sydney,city,London,city,twinned administrative body,"Do you get the smell sitting at a distance?
"
New York City,city of the United States,London,city,twinned administrative body,"• Record your observations.
"
Drinking glass,container,Water,None,made from material,"Activity ______________ 1.4 • Take two glasses/beakers filled with water.
"
Blue ink,ink,Ink,coating,subclass of,"• Put a drop of blue or red ink slowly and carefully along the sides of the first beaker and honey in the same way in the second beaker.
"
England,devolved nation within the UK,London,city,capital,"• Leave them undisturbed in your house or in a corner of the class.
"
New York City,city of the United States,London,city,twinned administrative body,"• Record your observations.
"
Barry Goldwater,human,President of the United States,position,position held,"• What do you observe immediately after adding the ink drop?
"
Honey,confection,Honeycomb,confection,instance of,"• What do you observe immediately after adding a drop of honey?
"
Day,UCUM derived unit,Hour,UCUM derived unit,part of,"• How many hours or days does it take for the colour of ink to spread evenly throughout the water?
"
Hot water,nan,Cold water,nan,opposite of,"Activity ______________ 1.5 • Drop a crystal of copper sulphate or potassium permanganate into a glass of hot water and another containing cold water.
"
Do not stir the solution,phrase,Solution,homogeneous mixture,instance of,"Do not stir the solution.
"
Brunswick,province of New South Wales,Lisbon,big city,capital,"Allow the crystals to settle at the bottom.
"
Glass,material,Solid,matter,subclass of,"• What do you observe just above the solid crystal in the glass?
"
Time passes,motion,Time,series,part of,"• What happens as time passes?
"
Solid,matter,Liquid,fluid,opposite of,"• What does this suggest about the particles of solid and liquid?
"
Temperature change,change,Temperature,scalar quantity,facet of,"• Does the rate of mixing change with temperature?
"
Why and how,None,History,academic discipline,facet of,"Why and how?
"
